method s delta #_poisoned AMI l2 time
slowP 0.01 0.05 3920 0.83616 18.99054 0:04:04.809415
slowP 0.01 0.2 3920 0.59325 74.99689 0:04:10.889269
slowP 0.01 0.4 3920 0.00000 146.16231 0:04:07.843971
slowP 0.01 0.6 3920 0.00000 213.28546 0:04:07.043021
slowP 0.05 0.05 20384 0.89576 16.10510 0:04:19.482635
slowP 0.05 0.2 20384 0.70253 63.77999 0:04:19.756191
slowP 0.05 0.4 20384 0.55792 125.13046 0:04:19.154356
slowP 0.05 0.6 20384 0.00000 108.35478 0:04:20.453590
slowP 0.1 0.05 40768 0.88298 16.12357 0:04:36.992831
slowP 0.1 0.2 40768 0.62595 63.64617 0:04:38.147767
slowP 0.1 0.4 40768 0.58937 125.19037 0:04:36.479809
slowP 0.1 0.6 40768 0.64357 71.72057 0:04:38.898284
slowP 0.2 0.05 82320 0.89985 16.12876 0:05:15.667188
slowP 0.2 0.2 82320 0.67242 63.68951 0:05:15.762160
slowP 0.2 0.4 82320 0.60410 125.13307 0:05:13.628966
slowP 0.2 0.6 82320 0.61420 184.09474 0:05:13.074873
