method s delta #_poisoned AMI l2 time
sonic 0.01 0.05 5.0 0.86487 18.75772 0:00:30.244801
sonic 0.01 0.2 5.0 0.69924 74.27927 0:00:30.274759
sonic 0.01 0.4 5.0 0.60303 131.63863 0:00:30.442666
sonic 0.01 0.6 5.0 0.00000 136.03090 0:00:30.551412
sonic 0.05 0.05 26.0 0.97358 9.60990 0:00:41.385341
sonic 0.05 0.2 26.0 0.90666 37.80245 0:00:41.272124
sonic 0.05 0.4 26.0 0.69119 74.26109 0:00:41.124728
sonic 0.05 0.6 26.0 0.56083 108.50511 0:00:41.199369
sonic 0.1 0.05 52.0 0.98828 4.45197 0:00:55.061837
sonic 0.1 0.2 52.0 0.97655 17.48690 0:00:55.182687
sonic 0.1 0.4 52.0 0.85008 34.68919 0:00:55.444746
sonic 0.1 0.6 52.0 0.75757 50.68710 0:00:55.130750
sonic 0.2 0.05 105.0 0.99587 1.08349 0:01:24.230434
sonic 0.2 0.2 105.0 0.96933 4.43704 0:01:24.951800
sonic 0.2 0.4 105.0 0.97785 8.33633 0:01:25.218668
sonic 0.2 0.6 105.0 0.96918 12.36813 0:01:25.161666
