method s delta #_poisoned AMI l2 time
slowP 0.01 0.05 2352 0.76043 12.14677 0:04:04.295269
slowP 0.01 0.2 2352 0.56094 47.91369 0:04:04.976110
slowP 0.01 0.4 2352 0.41286 93.06002 0:04:05.325486
slowP 0.01 0.6 2352 0.00000 138.80632 0:04:05.090350
slowP 0.05 0.05 13328 0.83698 7.91434 0:04:11.001026
slowP 0.05 0.2 13328 0.61708 30.93934 0:04:10.866226
slowP 0.05 0.4 13328 0.53664 60.79031 0:04:12.948831
slowP 0.05 0.6 13328 0.00000 90.30801 0:04:11.366132
slowP 0.1 0.05 27440 0.85699 9.83509 0:04:23.666466
slowP 0.1 0.2 27440 0.71692 38.74660 0:04:26.140636
slowP 0.1 0.4 27440 0.67865 35.01233 0:04:26.015989
slowP 0.1 0.6 27440 0.00000 65.80820 0:04:27.606953
slowP 0.2 0.05 54880 0.86856 9.81084 0:04:49.482655
slowP 0.2 0.2 54880 0.76130 38.59300 0:04:48.663783
slowP 0.2 0.4 54880 0.81016 76.21852 0:04:48.203477
slowP 0.2 0.6 54880 0.79588 18.69679 0:04:48.746035
