method s delta #_poisoned AMI l2 time
sonic 0.01 0.05 3.0 0.79666 11.32732 0:00:21.886436
sonic 0.01 0.2 3.0 0.66309 45.40453 0:00:21.629080
sonic 0.01 0.4 3.0 0.72743 82.13978 0:00:21.878727
sonic 0.01 0.6 3.0 0.38689 78.35000 0:00:21.912366
sonic 0.05 0.05 17.0 0.91579 7.84935 0:00:28.465592
sonic 0.05 0.2 17.0 0.85248 30.98905 0:00:28.316712
sonic 0.05 0.4 17.0 0.68858 60.99090 0:00:28.283820
sonic 0.05 0.6 17.0 0.00000 89.57644 0:00:28.870753
sonic 0.1 0.05 35.0 0.95572 4.40298 0:00:38.347591
sonic 0.1 0.2 35.0 0.94449 17.50405 0:00:38.471413
sonic 0.1 0.4 35.0 0.84537 34.17595 0:00:38.219025
sonic 0.1 0.6 35.0 0.64921 50.89804 0:00:38.423607
sonic 0.2 0.05 70.0 0.97466 1.63917 0:00:57.261361
sonic 0.2 0.2 70.0 0.92263 6.57266 0:00:56.923721
sonic 0.2 0.4 70.0 0.94686 12.87593 0:00:57.060121
sonic 0.2 0.6 70.0 0.90873 19.17499 0:00:57.715710
